game_id,date,home_team,away_team,home_score,away_score
0022500227,2025-11-13,Utah Jazz,Atlanta Hawks,122,132
0022500228,2025-11-15,Cleveland Cavaliers,Memphis Grizzlies,108,100
0022500229,2025-11-15,Charlotte Hornets,Oklahoma City Thunder,96,109
0022500230,2025-11-15,Indiana Pacers,Toronto Raptors,111,129
0022500231,2025-11-15,Milwaukee Bucks,Los Angeles Lakers,95,119
0022500232,2025-11-15,Minnesota Timberwolves,Denver Nuggets,112,123
0022500233,2025-11-16,Boston Celtics,LA Clippers,121,118
0022500234,2025-11-16,San Antonio Spurs,Sacramento Kings,123,110
0022500235,2025-11-16,Washington Wizards,Brooklyn Nets,106,129
0022500236,2025-11-16,Houston Rockets,Orlando Magic,117,113
0022500237,2025-11-16,New Orleans Pelicans,Golden State Warriors,106,124
0022500238,2025-11-16,Dallas Mavericks,Portland Trail Blazers,138,133
0022500239,2025-11-16,Phoenix Suns,Atlanta Hawks,122,124
0022500240,2025-11-16,Utah Jazz,Chicago Bulls,150,147
0022500241,2025-11-17,Cleveland Cavaliers,Milwaukee Bucks,118,106
0022500242,2025-11-17,Detroit Pistons,Indiana Pacers,127,112
0022500243,2025-11-17,Philadelphia 76ers,LA Clippers,110,108
0022500244,2025-11-17,Miami Heat,New York Knicks,115,113
0022500245,2025-11-17,Toronto Raptors,Charlotte Hornets,110,108
0022500246,2025-11-17,Minnesota Timberwolves,Dallas Mavericks,120,96
0022500247,2025-11-17,New Orleans Pelicans,Oklahoma City Thunder,109,126
0022500248,2025-11-17,Denver Nuggets,Chicago Bulls,127,130
0022500249,2025-11-18,Orlando Magic,Golden State Warriors,121,113
0022500250,2025-11-18,Brooklyn Nets,Boston Celtics,99,113
0022500251,2025-11-18,Atlanta Hawks,Detroit Pistons,112,120
0022500252,2025-11-18,San Antonio Spurs,Memphis Grizzlies,111,101
0022500253,2025-11-18,Los Angeles Lakers,Utah Jazz,140,126
0022500254,2025-11-18,Portland Trail Blazers,Phoenix Suns,110,127
0022500255,2025-11-19,Cleveland Cavaliers,Houston Rockets,104,114
0022500256,2025-11-19,Indiana Pacers,Charlotte Hornets,127,118
0022500257,2025-11-19,Miami Heat,Golden State Warriors,110,96
0022500258,2025-11-19,Philadelphia 76ers,Toronto Raptors,112,121
0022500259,2025-11-19,Minnesota Timberwolves,Washington Wizards,120,109
0022500260,2025-11-19,New Orleans Pelicans,Denver Nuggets,118,125
